"SUPPLIER (Mandatory)

Note: If you have same product which you buy from different supplier please add in a new row . Supplier only can select from dropdown only. Do not add new supplier here","Product Name
If the same product has multiple packaging types, add a new row for each
Choose from drop down","Base UOM
(Automatic) ","Packaging UOM
Note: Should be for ordering puporse, make sure it is already in product tab","Packaging Unit
Do not modify","Packaging Conversion To Base Uom
Note : conversion must be the same as in product tab","UNIT PRICE","Branches","","","","","","","","","","","","","","","","","",""
"KL Fruits","Daun Pandan","G (Gram)","KG (Kilogram)","1","1000","6","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Daun Kari","G (Gram)","KG (Kilogram)","1","1000","17.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Daun Ketumbar","G (Gram)","KG (Kilogram)","1","1000","27.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Halia","G (Gram)","KG (Kilogram)","1","1000","9.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Serai","G (Gram)","KG (Kilogram)","1","1000","3.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Lengkuas","G (Gram)","KG (Kilogram)","1","1000","7.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Timun Jepun","G (Gram)","KG (Kilogram)","1","1000","6.8","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Kacang Tanah","G (Gram)","KG (Kilogram)","1","1000","13.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Taugeh","G (Gram)","KG (Kilogram)","1","1000","2.2","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Bunga Kantan","G (Gram)","KG (Kilogram)","1","1000","4.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Buffalo Meat","G (Gram)","PKT (Packet)","1","2000","34.1","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Udang","G (Gram)","PKT (Packet)","1","1000","14.99","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Spaghetti","G (Gram)","PKT (Packet)","1","500","4.9","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Macaroni","G (Gram)","PKT (Packet)","1","500","4.91","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Shoppe","Kicap Mahsuri Ala Korea","ML (Milliliter)","BOTTLE (Bottle)","1","410","5.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"JG Pacific","Kewpie Style","G (Gram)","PKT (Packet)","1","1000","17.9","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"JG Pacific","Kewpie Spread","G (Gram)","PKT (Packet)","1","310","9.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"JG Pacific","Tomato Puree","G (Gram)","TIN (Tin)","1","2500","22.9","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"JG Pacific","Tomato Chop","G (Gram)","TIN (Tin)","1","2550","21.9","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"PXL Marketing","Black Napkin","PCS (Pcs)","PKT (Packet)","1","1","0.23","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Ultra Green Supplies","Paper lunch box 3 comparment","PC (Piece)","PKT (Packet)","1","1","1","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Ultra Green Supplies","Paper bowl ","PC (Piece)","PKT (Packet)","1","1","0.45","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Ultra Green Supplies","Inner bowl lid","PC (Piece)","PKT (Packet)","1","1","0.52","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Sugar packet","PCS (Pcs)","PKT (Packet)","1","13.5","","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Dome Lid (16oz) ","PC (Piece)","PKT (Packet)","1","1","0.36","Celsius Coffee IOI Mall","","","","","","","","","","","","","","","","","",""
"KL Fruits","Telur","PC (Piece)","TRAY (Tray)","1","1","0.45","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Mushroom Shimeji (White)","G (Gram)","PKT (Packet)","1","125","1.4","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Dishwash Liquid","ML (Milliliter)","PKT (Packet)","1","700","4.6","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Serai Wangi","EACH (Each)","BOTTLE (Bottle)","1","","","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Toilet sabun","EACH (Each)","BOTTLE (Bottle)","1","1","14.9","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Toilet bowl tablet","EACH (Each)","PKT (Packet)","1","1","2","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Fish Cake","G (Gram)","PKT (Packet)","1","220","2.6","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Fish Ball","G (Gram)","PKT (Packet)","1","135","1.99","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
