"Product Name
If the same product has multiple packaging types, add a new row for each.
(Only for main products or raw materials purchased for use)","Category - Compulsory
Group or type of the product
","Base UOM
The smallest unit used in recipes, such as grams (g) or milliliters (ml).
For products used as whole units (e.g., bottled water), you may select “bottle.”

(Only one unit can be selected from the dropdown.)","Product Code
Must be unique
(Except for items with the same product name)","TAX RATE (Mandatory)","IS MENU","Packaging UOM
The unit of the packaging purchased from the supplier, used for stock counting or sales (for the central kitchen). 
","Packaging (Unit)
(Do not modify)","Unit Conversion
Used to specify how many units of the Base UOM equal 1 unit of the Packaging UOM.
For example, 1 bottle of oil = 750 ml.","Selling Price
(For Central Kitchen only)","Packaging Description
Additional information for orders , for Central Kitchen Only
(Provide if necessary)","Branches

Note:
Assign the product to branch inventory; can be assigned to more than one branch (if applicable) use comma to separate it","Product (Description)","Group / Tag
Used to filter products outside the main category; multiple tags can be added (separated by commas)","","","","","","","","","","","",""
"Cup Holder (4)","Packaging","PC (Piece)","PP0006","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Drip leakage cover","Packaging","PC (Piece)","PDC001","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Sandwich Box","Packaging","PC (Piece)","PBS001","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Cake Box","Packaging","PC (Piece)","PBC001","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Noodle box","Packaging","PC (Piece)","PBN001","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Paper lunch box 3 comparment","Packaging","PC (Piece)","PBP001","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Inner bowl lid","Packaging","PC (Piece)","PBC003","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Paper bowl ","Packaging","PC (Piece)","PBC002","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Sauce Container","Packaging","PC (Piece)","PBC004","NT 0%","No","PKT (Packet)","1","","","","","","","","","","","","","","","","","",""
"Cream Charger","Non-Food Item","PCS (Pcs)","NF0001","NT 0%","No","PKT (Packet)","1","","","","","","","","","","","","","","","","","",""
"Plastic Fork","Packaging","PC (Piece)","","NT 0%","No","PKT (Packet)","1","","","","","","","","","","","","","","","","","",""
"Plastic Spoon","Packaging","PKT (Packet)","PBP002","NT 0%","No","PKT (Packet)","1","","","","","","","","","","","","","","","","","",""
"Stirrer","Packaging","PKT (Packet)","PBP003","NT 0%","No","PKT (Packet)","1","","","","","","","","","","","","","","","","","",""
"Plastik HD 6x9","Packaging","PKT (Packet)","PPH001","NT 0%","No","PKT (Packet)","1","1","","","","","","","","","","","","","","","","",""
"Black Napkin","Packaging","PCS (Pcs)","PN0001","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"White napkin","Packaging","PCS (Pcs)","PN0002","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Thermal Roll (Credit Card) 57x25x8mm","Packaging","ROLL (Roll)","PTR001","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Thermal Roll (Receipt) 80x60x12mm","Packaging","ROLL (Roll)","PTR002","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Air fryer paper","Packaging","PKT (Packet)","PAP001","NT 0%","No","PACK (Pack)","1","","","","","","","","","","","","","","","","","",""
"Cling Film","Packaging","UNIT (Unit)","PAP002","NT 0%","No","ROLL (Roll)","1","","","","","","","","","","","","","","","","","",""
"Nonstick paper","Packaging","UNIT (Unit)","PAP003","NT 0%","No","ROLL (Roll)","1","","","","","","","","","","","","","","","","","",""
"Aluminium Foil","Packaging","UNIT (Unit)","PAP004","NT 0%","No","ROLL (Roll)","1","","","","","","","","","","","","","","","","","",""
"Sponge","Packaging","EACH (Each)","PAP005","NT 0%","No","PACK (Pack)","1","","","","","","","","","","","","","","","","","",""
"Gloves","Packaging","EACH (Each)","PAP006","NT 0%","No","BOX (Box)","1","","","","","","","","","","","","","","","","","",""
"Plastic Sampah","Packaging","EACH (Each)","PAP007","NT 0%","No","PACK (Pack)","1","","","","","","","","","","","","","","","","","",""
"Dishwash Liquid","Cleaning","ML (Milliliter)","CL0001","NT 0%","No","CTN (Carton)","1","8400","","","","","","","","","","","","","","","","",""
"Dishwash Liquid","Cleaning","ML (Milliliter)","CL0002","NT 0%","No","PACK (Pack)","1","700","","","","","","","","","","","","","","","","",""
"Cleaning/Spray Liquid","Cleaning","EACH (Each)","CL0003","NT 0%","No","BOTTLE (Bottle)","1","","","","","","","","","","","","","","","","","",""
"Serai Wangi","Cleaning","EACH (Each)","CL0004","NT 0%","No","BOTTLE (Bottle)","1","","","","","","","","","","","","","","","","","",""
"Toilet sabun","Cleaning","EACH (Each)","CL0005","NT 0%","No","PACK (Pack)","1","","","","","","","","","","","","","","","","","",""
"Toilet bowl tablet","Cleaning","EACH (Each)","CL0006","NT 0%","No","PACK (Pack)","1","","","","","","","","","","","","","","","","","",""
"Streaky Beef","Meat","G (Gram)","M0001","NT 0%","No","CTN (Carton)","1","12000","","","","","","","","","","","","","","","","",""
"Streaky Beef","Meat","G (Gram)","M0002","NT 0%","No","PKT (Packet)","1","500","","","","","","","","","","","","","","","","",""
"Pull Lamb","Meat","G (Gram)","M0003","NT 0%","No","PKT (Packet)","1","1000","","","","","","","","","","","","","","","","",""
"Buffalo Meat","Meat","G (Gram)","M0004","NT 0%","No","CTN (Carton)","1","2000","","","","","","","","","","","","","","","","",""
"Chicken Chop","Meat","G (Gram)","M0005","NT 0%","No","CTN (Carton)","1","1200","","","","","","","","","","","","","","","","",""
"French Fries","Raw Material","G (Gram)","RM-F01","NT 0%","No","CTN (Carton)","1","6000","","","","","","","","","","","","","","","","",""
"French Fries","Raw Material","G (Gram)","RM-F02","NT 0%","No","PKT (Packet)","1","1000","","","","","","","","","","","","","","","","",""
"Fish Ball","Raw Material","G (Gram)","RM-F03","NT 0%","No","PACK (Pack)","1","135","","","","","","","","","","","","","","","","",""
"Fish Cake","Raw Material","G (Gram)","RM-F04","NT 0%","No","PACK (Pack)","1","220","","","","","","","","","","","","","","","","",""
"Fish Paste","Raw Material","G (Gram)","RM-F05","NT 0%","No","PACK (Pack)","1","1000","","","","","","","","","","","","","","","","",""
"Tauhu","Raw Material","G (Gram)","RM-T01","NT 0%","No","PACK (Pack)","1","250","","","","","","","","","","","","","","","","",""
"Telur","Raw Material","PC (Piece)","RM-T02","NT 0%","No","TRAY (Tray)","1","","","","","","","","","","","","","","","","","",""
"Udang","Meat","G (Gram)","RM-F06","NT 0%","No","PACK (Pack)","1","1000","","","","","","","","","","","","","","","","",""
"Cooking Oil","Oil","ML (Milliliter)","OC001","NT 0%","No","CTN (Carton)","1","20000","","","","","","","","","","","","","","","","",""
"Cooking Oil","Oil","ML (Milliliter)","OC002","NT 0%","No","BOTTLE (Bottle)","1","5000","","","","","","","","","","","","","","","","",""
"Olive Oil","Oil","ML (Milliliter)","OC003","NT 0%","No","BOTTLE (Bottle)","1","5000","","","","","","","","","","","","","","","","",""
"Black Truffle Oil","Oil","ML (Milliliter)","OC004","NT 0%","No","BOTTLE (Bottle)","1","250","","","","","","","","","","","","","","","","",""
"White Truffle Oil","Oil","ML (Milliliter)","OC005","NT 0%","No","CTN (Carton)","1","200","","","","","","","","","","","","","","","","",""
"Anchor Salt Butter","Raw Material","G (Gram)","RMA01","NT 0%","No","CTN (Carton)","1","10000","","","","","","","","","","","","","","","","",""
"Anchor Salt Butter","Raw Material","G (Gram)","RMA02","NT 0%","No","PC (Piece)","1","250","","","","","","","","","","","","","","","","",""
"Anchor Cheese Slice","Raw Material","G (Gram)","RMA03","NT 0%","No","CTN (Carton)","1","10400","","","","","","","","","","","","","","","","",""
"Anchor Cheese Slice","Raw Material","G (Gram)","RMA04","NT 0%","No","PKT (Packet)","1","1040","","","","","","","","","","","","","","","","",""
"Emborg Cooking Cream","Raw Material","ML (Milliliter)","RMC01","NT 0%","No","CTN (Carton)","1","12000","","","","","","","","","","","","","","","","",""
"Emborg Cooking Cream","Raw Material","ML (Milliliter)","RMC02","NT 0%","No","PKT (Packet)","1","1000","","","","","","","","","","","","","","","","",""
"Emborg Whipping Cream","Raw Material","ML (Milliliter)","RMC03","NT 0%","No","CTN (Carton)","1","12000","","","","","","","","","","","","","","","","",""
"Emborg Whipping Cream","Raw Material","ML (Milliliter)","RMC04","NT 0%","No","BOTTLE (Bottle)","1","1000","","","","","","","","","","","","","","","","",""
"Floridia Parmesan","Raw Material","G (Gram)","RMC05","NT 0%","No","PKT (Packet)","1","1000","","","","","","","","","","","","","","","","",""
"Shredded Mozarella","Raw Material","G (Gram)","RMC06","NT 0%","No","PKT (Packet)","1","2000","","","","","","","","","","","","","","","","",""
